year,artist.inverted,track,time,genre,date,week,rank
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,1,100.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2,99.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,3,96.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,4,76.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,5,55.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,6,37.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,7,24.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,8,24.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,9,30.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,10,36.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,11,37.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,12,30.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,13,23.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,14,21.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,15,17.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,16,17.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,17,15.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,18,11.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,19,11.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,20,10.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,21,7.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,22,7.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,23,8.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,24,10.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,25,11.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,26,12.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,27,12.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,28,17.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,29,19.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,30,23.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,31,33.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,32,37.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,33,36.0
2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,34,49.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,1,97.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2,97.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,3,89.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,4,89.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,5,94.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,6,90.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,7,99.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,8,97.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,9,98.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,1,77.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2,74.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,3,64.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,4,61.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,5,53.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,6,48.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,7,43.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,8,38.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,9,42.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,10,38.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,11,44.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,12,49.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,13,53.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,14,61.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,15,66.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,16,68.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,17,80.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,18,85.0
2000,"Jean, Wyclef",911,4:00,Rap,2000-10-07,19,96.0
2000,"Brock, Chad",A Country Boy Can Survive,3:54,Country,2000-01-01,1,93.0
2000,"Brock, Chad",A Country Boy Can Survive,3:54,Country,2000-01-01,2,75.0
2000,"Brock, Chad",A Country Boy Can Survive,3:54,Country,2000-01-01,3,92.0
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,1,75.0
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,2,82.0
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,3,88.0
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,4,96.0
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,5,99.0
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,6,99.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,1,80.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,2,80.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,3,80.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,4,79.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,5,72.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,6,73.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,7,65.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,8,64.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,9,60.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,10,60.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,11,48.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,12,48.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,13,48.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,14,43.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,15,35.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,16,32.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,17,30.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,18,32.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,19,37.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,20,26.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,21,31.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,22,28.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,23,30.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,24,32.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,25,39.0
2000,Son By Four,A Puro Dolor (Purest Of Pain),3:30,Latin,2000-04-08,26,35.0
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,1,99.0
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,2,75.0
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,3,57.0
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,4,35.0
2000,"Carter, Aaron",Aaron's Party (Come Get It),3:23,R&B,2000-08-26,5,35.0
